"session","session_id","study_id","created","modified","ended","expired","remind_situation","situ_nerv","situ_rela","situ_care","situ_blue","situ_irri","situ_bala","situ_soci","situ_asse","situ_subo","situ_acti","situ_pass","situ_enth","situ_symp","situ_aloo","situ_kind","situ_poli","situ_susp","situ_trus","situ_orga","situ_tidy","situ_lazy","situ_dili","situ_thou","situ_reli","situ_arti","situ_curi","situ_conv","situ_trad","typical_week","suit_nerv","suit_rela","suit_care","suit_blue","suit_irri","suit_bala","suit_soci","suit_asse","suit_subo","suit_acti","suit_pass","suit_enth","suit_symp","suit_aloo","suit_kind","suit_poli","suit_susp","suit_trus","suit_orga","suit_tidy","suit_lazy","suit_dili","suit_thou","suit_reli","suit_arti","suit_curi","suit_conv","suit_trad","traits","selected_items","unclarity","ot_unclarity"
"IBgOOCMISLW0DIvXqqKCxiTFVpiL0jCnZt6sGxM2nJku-j11K9ZqY4MnIbATpv2n","405","15","2024-07-02 19:34:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHvsX0mq7cJ6k03x8RV3N8MyxzgFqQh6PGTjP8u6uJcAk-s-dVHMAYGZnJM-R-yd","407","15","2024-07-02 19:34:39","2024-07-02 19:45:59","2024-07-02 19:45:59","","About an hour ago I was registering for my third year courses. I was in the Earth Sciences Building, at a table by myself. While I was waiting for my registration to open I was working on MATLAB code.","7","2","1","1","1","6","1","1","1","1","8","6","6","6","6","6","1","8","9","5","2","8","1","7","1","3","6","6","In a typical week in my life, I go to school, I attend classes, I do my homework, I go home, I exercise, and I relax late in the evening. I typically interact with my friends at school and my parents at home. Occasionally I will interact with my friends online via calls but this is infrequent during school. I also have a part-time job that I work every three Sundays. I interact with the customers that come into the post office but I am the only employee in on the days I work. ","4","4","2","3","4","6","8","2","1","7","6","7","6","2","8","6","1","7","8","5","3","6","1","7","3","3","6","6","carefree,trustful,passive,kind,suspicious,artistic,sociable,conventional,thoughtless,reliable,organized,traditional,subordinate,blue,tidy,active,relaxed,lazy,curious,aloof,diligent,assertive,sympathetic,nervous,balanced,enthusiastic,polite,irritable","subordinate","13","To my understanding, the definition means to feel oneself is below someone else. But I was unsure if this was the intention when I was asked if I felt subordinate."
"9FJP3AQJrO6lxsr0aMqdPgFZi1wN9-dXHq9pcOyYyJ31lp3wQ7P_tZUDNX6O5ekw","418","15","2024-07-02 19:48:35","2024-07-02 19:48:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"futolKBpxrh62hDUNFGjX4N3htzbG_T8L3f4OY8PJ8IQE5xmfdsa1upGwPnIptaR","428","15","2024-07-02 20:49:07","2024-07-02 20:54:32","2024-07-02 20:54:32","","I was in class listening to a lecture. Around me were all the other students who were attending the class as well as the professor.","2","8","9","2","4","3","1","1","1","1","1","1","1","1","7","7","1","2","8","8","8","2","9","3","1","2","4","1","A typical week in my life usually includes walking my dog 3x a day, looking for a job, tanning/swimming, working out 3x a week,  cleaning/tidying, and going out with my friends. ","2","7","2","2","4","6","2","3","1","5","2","2","2","2","2","3","1","1","8","8","2","1","1","5","1","2","3","2","lazy,active,balanced,carefree,blue,suspicious,sympathetic,nervous,traditional,reliable,organized,tidy,trustful,polite,subordinate,sociable,irritable,thoughtless,kind,relaxed,artistic,diligent,passive,enthusiastic,conventional,aloof,curious,assertive","","",""
"NvqYtDg7rK9Xly_t22Btsu7hEPUNTzlerOaWqWUgk0PnVtu_6H9CZcA5n1TVzgxr","434","15","2024-07-02 21:11:14","2024-07-02 21:20:31","2024-07-02 21:20:31","","An hour ago I was waking up to the new semester, I realized I woke up too late for my first class of the day and panicked, rushing to get ready. I was by myself and I was deeply stressed about my new course load as I went to my computer to read up the new schedules for my courses. ","9","1","2","4","9","2","1","5","2","4","3","2","2","8","2","2","5","2","4","3","7","4","8","4","1","9","6","6","In a typical week, I have at least 3 days where I go to the gym to lift weights, a day to go out for a bike ride with my cycle club. During this ride we usually stop for coffee and chat. At least 3 afternoons throughout the week I spend with my significant other either engaging in dinner or other activities. Finally I do the school work as required of me throughout the week. ","8","8","3","7","6","5","4","6","8","10","4","8","8","5","6","8","5","7","8","9","2","7","7","9","2","6","8","6","sympathetic,polite,blue,relaxed,carefree,subordinate,assertive,active,balanced,tidy,diligent,kind,lazy,nervous,suspicious,conventional,sociable,curious,artistic,irritable,thoughtless,traditional,reliable,trustful,passive,enthusiastic,aloof,organized","conventional,traditional","16, 22","These two words I feel are very subjective, as they relate to a particular set of rules that was established before. By traditional, does one mean the feeling of doing something that was engrained into their culture? By conventional does that mean feeling something that one typically feels? These are the clarifications that I have trouble understanding to the full context. "
"D4TsU34iVxreuSuFFEydn-hyuhubKRWD8ST5AQtiwPtkdBdXP2bo-keTFMtIJz7N","438","15","2024-07-02 21:21:47","2024-07-02 21:27:35","2024-07-02 21:27:35","","Today at the gym, I tackled a TRX workout, which is one of my favorite ways to train because it uses body weight and gravity as resistance. First, I set up the TRX straps, adjusting them to hang from a secure anchor above head height. The adjustability is great because it allows me to modify the exercises to match my fitness level.

I started with some TRX squats. Holding the handles, I leaned back with my feet forward until my body was at an angle. Then, I squatted down as low as I could go, keeping my back straight and core tight. It's a great workout for the legs and also helps in building core strength.

Next, I moved on to TRX rows, which are fantastic for the upper back. I shortened the straps, grabbed the handles, leaned back with my arms extended, and pulled myself upwards, making sure to squeeze my shoulder blades together at the top of the movement.

I also incorporated some TRX planks and lunges into my routine. For the planks, I put my feet in the straps and held a steady plank position, which really challenged my stability and core. The lunges were a bit tricky as balancing adds an extra challenge, but it felt rewarding to maintain my form.

To increase the intensity, I adjusted my position relative to the anchor point. Moving closer makes the exercises a bit easier, whereas stepping further away increases the challenge, especially for exercises like the chest press and the planks.","7","5","5","6","7","6","5","4","7","7","5","8","6","5","7","5","4","7","6","6","6","6","5","6","5","5","7","4","This week, I dedicated several hours each day to studying. I focused on my psychology coursework, reviewing key concepts and preparing for upcoming exams. I spent time reading textbooks, taking notes, and occasionally collaborating with classmates over study sessions. I also utilized online resources to deepen my understanding of complex topics and watched educational videos to reinforce my learning.I made a couple of trips to the store this week to pick up essentials and a few extras. One day was dedicated to grocery shopping, ensuring I had healthy ingredients for my meals throughout the week. Another day, I visited a local mall to buy some clothes and personal items. Shopping gives me a break from my routine and allows me to refresh my environment and wardrobe","7","8","7","7","8","7","7","7","8","6","8","4","6","7","6","6","8","7","8","8","7","7","7","6","7","7","6","7","active,blue,conventional,relaxed,kind,nervous,polite,assertive,tidy,lazy,organized,suspicious,passive,subordinate,reliable,carefree,diligent,irritable,sympathetic,sociable,trustful,enthusiastic,curious,artistic,balanced,thoughtless,traditional,aloof","assertive,carefree,sympathetic,balanced,traditional","8, 16, 19, 25, 27","I dont know"
"W9bKRIxoWOqIpdhM0PkA2IBXJggoe56_drJcUqlNyYFSTSINCHCt3C2HWRQVebXU","449","15","2024-07-02 22:38:17","2024-07-02 22:43:08","2024-07-02 22:43:08","","I was running late for class and had to pick up some food before it because its a long class nothing really important about it ","1","4","2","2","6","3","8","6","1","9","6","8","5","6","8","7","6","5","1","8","7","3","6","8","7","6","6","8","I go to gym spend the majority of may day in IKB and go visit my friends","3","8","7","6","6","5","10","6","3","9","6","9","8","6","8","8","6","8","8","10","8","8","9","8","9","8","6","9","polite,trustful,tidy,lazy,conventional,carefree,thoughtless,sympathetic,curious,active,irritable,relaxed,subordinate,suspicious,nervous,traditional,passive,artistic,enthusiastic,balanced,aloof,diligent,organized,sociable,reliable,kind,assertive,blue","passive,blue","17, 28","nothing really specific"
"PBv8VnWOfwFhCa54IlKbqQMRZeZ5u_ZpL4bcVa7f2G83zOiBl3AM8O_IO2Zd4jrX","456","15","2024-07-02 23:03:04","2024-07-02 23:13:57","2024-07-02 23:13:57","","I was in the library alone concerning about courses registration. I was really confused about the new Workday System and got so frustrated. ","8","1","1","7","10","4","3","1","5","4","10","1","7","1","5","4","1","5","6","4","1","8","1","4","1","2","6","6","Usually I just go to school when I have class. If I don't have to go school, sometimes I will go to the library by myself during the weekends or just stay at home and watch Youtube or play Nintendo Switch.","1","10","5","1","1","2","1","2","3","2","1","1","4","5","6","5","1","4","2","5","8","2","9","6","1","1","2","3","reliable,polite,curious,diligent,irritable,sympathetic,relaxed,kind,aloof,subordinate,thoughtless,balanced,assertive,sociable,nervous,trustful,carefree,blue,passive,organized,traditional,lazy,enthusiastic,artistic,tidy,active,suspicious,conventional","irritable,subordinate,assertive","5, 10, 13","I chose ""irritable"" and ""assertive"" because I forgot the definition about the,. while ""subordinate"" because from my understanding the question is asking about my emotions, and I am not controlling by others."
"-XpEfUvKI2iIk93SAeG9uH6ptN5tosE6jcYneTc-Jhy7xr64-PcM71V5zmRPfq4T","458","15","2024-07-02 23:03:20","2024-07-02 23:09:46","2024-07-02 23:09:46","","I was driving one hour ago in my car on the way to school. It was pretty normal, and I was going on my own, listening to music
","1","10","3","1","5","8","1","5","6","8","8","5","5","5","5","5","5","5","5","8","6","5","8","5","5","5","5","5","Typically, i attend work, where i work at the pool. There, I interact with my co-workers and friends and other patrons. I usually just walk around and monitor them. At school I go to class, hang out with my friends, listen to the teacher. Otherwise, I also go to the gym, where i like to be alone. I am also chilling at home. ","2","6","3","2","2","7","10","10","5","9","4","6","9","5","6","8","2","5","10","10","2","8","2","9","3","5","7","6","aloof,traditional,balanced,organized,diligent,tidy,blue,artistic,nervous,conventional,subordinate,relaxed,passive,polite,carefree,sympathetic,assertive,sociable,thoughtless,irritable,suspicious,active,curious,reliable,enthusiastic,trustful,lazy,kind","aloof","1","i do not know what it means, so I just put the answer 5"
"VL0LXqRgL66kSrtq5RS4d2MX4ngYAXdTs1_VNoa_3QBifKtPLRTBLtE9NWSusglx","465","15","2024-07-02 23:17:47","2024-07-03 00:03:38","2024-07-03 00:03:38","","in the beginning of class, learning about our professor and about the course as it is the first day of class. I was looking up our syllabus, textbook and research studies to participate in. I was around my classmates  but no one is sitting next to me so the parts where we were supposed to talk to people next to us I didnt get to talk to anyone but it was fine cause I just got to think to myself. I took this course before but didn't pass because there were too many things happening in my personal life so taking the course again is making me nervous.","7","4","6","3","1","9","4","3","3","4","5","6","8","1","7","9","3","6","7","7","2","7","2","8","6","7","5","4","I have mostly stayed home or gone to my partner's place and sometimes gone out downtown like the beach, park and shops. I have mostly been around my mom and sister and see my partner around 2 to 4 times a week and my friends once a week. I mostly do chores when I am home, watch my shows or get things I need to get done.","8","4","7","7","8","5","7","8","6","6","5","4","8","7","6","5","4","5","6","7","4","6","3","6","3","6","3","4","blue,lazy,balanced,reliable,relaxed,sympathetic,passive,aloof,enthusiastic,sociable,assertive,active,kind,irritable,suspicious,nervous,subordinate,organized,curious,traditional,thoughtless,diligent,polite,artistic,tidy,conventional,trustful,carefree","","",""
"iXwWJHKwV_G20G_ODJxOG4_1wJd0yd-XSzilhdThIAijVzlMnzgHt0WB0DFevBSA","472","15","2024-07-03 00:01:37","2024-07-03 00:20:02","2024-07-03 00:20:02","","I'm back in my dorm alone, eating left over food while watching Youtube game clips. ","1","9","9","2","1","6","3","2","6","3","1","8","5","2","7","7","1","6","6","8","9","3","10","3","2","8","3","6","I usually go to classes with my classmates, chatting with them on our way to the next building, and doing homework with them. Sometimes I study in my own room and enjoy the quiet time. ","2","8","9","1","2","9","9","7","2","10","2","9","9","2","9","10","1","9","9","9","2","10","3","10","9","9","10","9","carefree,diligent,suspicious,blue,assertive,conventional,lazy,enthusiastic,tidy,balanced,thoughtless,subordinate,irritable,passive,trustful,artistic,sociable,traditional,sympathetic,reliable,curious,nervous,active,kind,organized,aloof,polite,relaxed","","",""
"yfPq6B9s0E-rdk0uCzJHJ2K1JsRUJZcRfIq2bP9cXoQ9tESXG8woOrmsbqq_5KPJ","477","15","2024-07-03 00:46:10","2024-07-03 01:01:40","2024-07-03 01:01:40","","I was at the lab room at Kenny and doing some lab works on the laptop. Nobody was with me at that moment, except the graduate student who mentors me was in the room inside our general lab room.","7","6","5","7","1","6","4","1","1","8","3","7","2","7","6","7","1","7","6","6","1","9","2","9","3","8","3","2","I would normally listen to the lecture recordings of my courses, then do some homework at my lab room. From time to time, I would hang out with different friends and have lunch or dinner with them - I tend to have one-to-one friendship. I would also FaceTime with my grandparents 1-2h during weekends. Over the weekends, I would also take out garbage from my dorm and do laundries if needed. I might also do some activities with my friends if both of us are not busy, such as kayaking, playing pool, or enjoying sauna at the aquatic centre on campus.","7","7","5","7","1","8","7","1","3","8","2","5","7","1","8","9","1","7","2","3","7","6","3","8","9","5","6","4","subordinate,passive,aloof,nervous,reliable,artistic,irritable,tidy,organized,diligent,sociable,enthusiastic,assertive,conventional,kind,sympathetic,balanced,trustful,carefree,polite,lazy,active,blue,suspicious,traditional,curious,relaxed,thoughtless","passive,suspicious","2, 24","Because I don't know what counts as my passive/suspicious moment...For example, does passive mean when I am suppressed by something or someone? or does it mean when I am indecisive towards my decisions in life and fail to face them directly? ""Suspicious"" is a very negative word to me and I only use it when I am judging something or someone who I dislike about. I wouldn't say my experience or daily life is suspicious because I only use it to judge others, not myself."
"Jehx57uCjS0oL4TG5Y2GhGJVk9reOiUZu5rJvrk8Cg_h-jw4G3zbCh3jdg_ftjxH","483","15","2024-07-03 01:26:16","2024-07-03 01:46:31","2024-07-03 01:46:31","","I was sitting in my PSYC 218 classroom with the girl who sat next to me (her name was Nicole) and the other students in the class. I was writing on my iPad and answering questions about cumulative frequency and other frequency-related questions. The room was absolutely freezing, so I had my arms crossed and was trying to make my body small so I could retain warmth. The chair was also uncomfortable on the bones of my butt so I was shifting from side to side a lot to make the discomfort ease a bit.","7","1","1","2","7","3","8","1","7","1","3","7","1","2","6","7","1","5","9","8","1","9","1","7","1","8","10","9","I go to classes on Tuesdays and Thursdays from 6-9 (and starting today, 1-4 as well). I typically don’t speak too much, maybe a sentence or two to answer a question. I speak more if Brina is sitting next to me. On Tuesdays I also volunteer at the hospital, so I’m quite sociable because I have to be. I make conversations with the patients (and one in particular I normally work with) as well as the recreational therapist I work alongside on the psychiatry floors at VGH. I also go to work at odd times and days, but normally 4 days a week for an average of about 6 hours each day. I work at The Gathering Place, so the people I interact with are typically vulnerable members of the population, whether addicted or homeless. Not all, but many. Work can be calm, but many things do happen. Police are around often, men come in and yell at us and others, things can get thrown, and sometimes patrons will come in with weapons. My coworkers are all about 20-40 years older than me, and are all cisgender and heterosexual. Unless I’m working in the kitchen, where the age of some of my coworkers falls to within about 10 years older than me. It’s also where the only other queer and trans people work, so I’m in more familiar company when I’m there. I definitely chat a lot more when I am working in the kitchen compared to working in the cafeteria with patrons. Other than this, I mainly spend my time at home, watching shows, playing board games with my partner, napping, or baking and cooking. At home, it’s mostly always just me, my partner, and our cat.","3","6","3","8","2","3","3","1","4","6","3","5","8","4","8","9","1","7","9","8","3","7","3","9","8","9","8","5","curious,polite,lazy,passive,sociable,carefree,trustful,relaxed,sympathetic,artistic,nervous,subordinate,active,thoughtless,irritable,conventional,reliable,suspicious,aloof,diligent,enthusiastic,traditional,organized,balanced,kind,assertive,blue,tidy","subordinate,traditional","12, 22","What does traditional mean in this sense? What is a traditional life? Traditional for someone of my race? Traditional for my religion? Traditional for me? If it’s the last one I feel like there were better words that could have been used. Traditional as in I do it a lot, or traditional as in its common for people like me to do a lot? And for subordinate, I’m not sure how I’d feel subordinate in my life. Like is this question asking how powerless I feel? As in do I feel constantly at the whim of others?"
"A8VD4C0P6bsIlrYoPibBZdKga8tESvb2V0dqav3SpSGZxEI88mTAgAkWfA9fDtI4","486","15","2024-07-03 01:37:39","2024-07-03 01:44:09","2024-07-03 01:44:09","","I was in my Math 101 lecture by myself, taking down notes. I was engaged and felt hopeful about the class because I felt the professor was doing a good job at teaching.
","4","7","3","3","3","7","4","5","8","9","4","9","5","1","8","8","1","5","8","7","2","9","2","6","4","9","8","5","I transit about 3 hours in total 4 days a week to UBC to attend my lectures. 3 On those days I go to my research lab shift where I am currently training with the baby Learning lab. I go home and typically go to planet fitness myself and then go home and eat omelettes. On the weekends I go out with my friends doing things like bowling, eating or going to the beach. Before I go to sleep I play video games.
","6","7","6","7","7","8","8","6","8","9","6","8","8","7","8","9","2","8","8","9","5","6","4","8","6","8","8","9","traditional,trustful,nervous,carefree,polite,conventional,suspicious,irritable,active,assertive,diligent,organized,curious,reliable,artistic,balanced,tidy,thoughtless,sociable,subordinate,sympathetic,blue,passive,enthusiastic,aloof,lazy,relaxed,kind","traditional,conventional","1, 6","Traditional as in I act in an old-fashioned manner? If old-fashioned then what time period? 

Conventional in what sense? The way I dress? Act? "
"9U8kK_4h2u3-i-DvhcqqK7XEle2Zt4bhmHEA0GkLhWrXeJMO-0f7H7qTU30Ah_7W","495","15","2024-07-03 02:09:11","2024-07-03 02:18:53","2024-07-03 02:18:54","","I was in a psychology class with other students. I felt nervous because it was the first class. The person in front of me was texting her friends on her laptop throughout the class. This frustrated me because her fingernails made it very loud. ","7","3","3","3","8","3","5","2","4","3","4","6","4","5","4","9","4","5","8","7","2","8","7","8","2","7","7","9","I go to class, work part-time at a crisis line, go for walks daily, cook all my meals, clean, socialize rarely, play video games, and waste time online. ","4","6","5","6","5","7","4","3","5","5","5","5","7","6","7","6","3","7","7","7","3","6","2","8","2","6","5","6","passive,sociable,relaxed,irritable,tidy,blue,carefree,trustful,diligent,active,conventional,thoughtless,reliable,aloof,balanced,artistic,suspicious,kind,traditional,enthusiastic,assertive,organized,nervous,subordinate,polite,curious,lazy,sympathetic","","",""
